documento,local,url,classificacao,estado_atual,recomendacao,risco,acao_futura,observacao
"Politica de Privacidade","fonte markdown","https://blog.pavieadvocacia.com.br/blog/","dominio do blog correto","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Politica de Privacidade","fonte markdown","https://pavieadvocacia.com.br/","dominio institucional legitimo","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=3"
"Politica de Privacidade","fonte markdown","https://pavieadvocacia.com.br/#contato","dominio institucional legitimo","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Politica de Privacidade","fonte markdown","https://pavieadvocacia.com.br/#honorarios","dominio institucional legitimo","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Politica de Privacidade","fonte markdown","https://pavieadvocacia.com.br/#servicos","dominio institucional legitimo","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Politica de Privacidade","fonte markdown","https://pavieadvocacia.com.br/privacidade/privacidade","URL tecnica interna","presente apenas no registro tecnico","remover do PDF publico","medio","excluir bloco Registro tecnico de extracao","ocorrencias=2; URL de impressao sem .html"
"Politica de Privacidade","fonte markdown","https://pavieadvocacia.com.br/privacidade/privacidade.html","URL historica .html","rota existe no repositorio raiz","preservar por continuidade juridica","medio","decisao humana antes de eventual migracao","ocorrencias=2; arquivo privacidade/privacidade.html existe"
"Politica de Privacidade","fonte markdown","https://pavieadvocacia.com.br/termos/termos.html","URL historica .html","rota existe no repositorio raiz","preservar por continuidade juridica","medio","decisao humana antes de eventual migracao","ocorrencias=3; arquivo termos/termos.html existe"
"Politica de Privacidade","fonte markdown","mailto:contato@pavieadvocacia.com.br","dominio institucional legitimo","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Termos de Servico","fonte markdown","https://blog.pavieadvocacia.com.br/blog/","dominio do blog correto","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Termos de Servico","fonte markdown","https://pavieadvocacia.com.br/","dominio institucional legitimo","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=3"
"Termos de Servico","fonte markdown","https://pavieadvocacia.com.br/#contato","dominio institucional legitimo","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Termos de Servico","fonte markdown","https://pavieadvocacia.com.br/#honorarios","dominio institucional legitimo","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Termos de Servico","fonte markdown","https://pavieadvocacia.com.br/#servicos","dominio institucional legitimo","presente na fonte","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Termos de Servico","fonte markdown","https://pavieadvocacia.com.br/privacidade/privacidade.html","URL historica .html","rota existe no repositorio raiz","preservar por continuidade juridica","medio","decisao humana antes de eventual migracao","ocorrencias=4; arquivo privacidade/privacidade.html existe"
"Termos de Servico","fonte markdown","https://pavieadvocacia.com.br/termos/termos","URL tecnica interna","presente apenas no registro tecnico","remover do PDF publico","medio","excluir bloco Registro tecnico de extracao","ocorrencias=1; URL de impressao sem .html"
"Termos de Servico","fonte markdown","https://pavieadvocacia.com.br/termos/termos.html","URL historica .html","rota existe no repositorio raiz","preservar por continuidade juridica","medio","decisao humana antes de eventual migracao","ocorrencias=2; arquivo termos/termos.html existe"
"Politica de Privacidade","public/legal PDF URI","https://pavieadvocacia.com.br/","dominio institucional legitimo","presente no PDF atual","preservar","baixo","validar no PDF futuro","ocorrencias=3"
"Politica de Privacidade","public/legal PDF URI","https://pavieadvocacia.com.br/#contato","dominio institucional legitimo","presente no PDF atual","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Politica de Privacidade","public/legal PDF URI","https://pavieadvocacia.com.br/#honorarios","dominio institucional legitimo","presente no PDF atual","preservar","baixo","validar no PDF futuro","ocorrencias=2"
