"file","block","has_frontmatter","title","id","type","status","date","owner","authority","review_cycle","parents","h2","lines"
"00.00 Carta Constitucional da PA.md","00","True","00. Constituição e Governo do Escritório — Carta Constitucional da PAVIE Advocacia e Raiz da Árvore de Comando e Execução","pavie-00-00-carta-constitucional","constituicao_governo_escritorio","vigente","2026-03-06","Fabio Mathias Pavie","maximo","12 meses, com revisão extraordinária por gatilho","","1. Preâmbulo constitucional | 2. Natureza, finalidade e força normativa | 3. Identidade institucional da PAVIE Advocacia | 4. Missão, visão, posicionamento e princípios","845"
"01.00 Plano Diretor Estratégico e Op.md","01","True","01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada","pavie-01-00-plano-diretor-estrategico-operacional","planejamento_direcao_estrategica","vigente","2026-03-06","Fabio Mathias Pavie","superior_derivado","12 meses, com revisão trimestral dos parâmetros e revisão extraordinária por gatilho","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório","1. Preâmbulo diretor | 2. Natureza, finalidade e subordinação | 3. Base constitucional de alinhamento | 4. Horizonte, escopo e premissas do ciclo estratégico","598"
"01.01 Plano Anual de Execução.md","01","True","01.01 Plano Anual de Execução","pavie-01-01-plano-anual-execucao","planejamento_anual_execucao","vigente","2026-03-06","Fabio Mathias Pavie","derivado_tatico_superior","revisão mensal executiva, revisão trimestral de prioridades e revisão anual integral","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Base de alinhamento do ciclo 2026 | 4. Diretriz anual de execução","465"
"01.02 Plano Trimestral de Prioridade.md","01","True","01.02 Plano Trimestral de Prioridades e Revisão","pavie-01-02-plano-trimestral-prioridades-revisao","planejamento_trimestral_prioridades_revisao","vigente","2026-03-06","Fabio Mathias Pavie","derivado_tatico","trimestral, com leitura mensal executiva e revisão extraordinária por gatilho","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Base de alinhamento do ciclo trimestral | 4. Função tática do trimestre","603"
"01.03 Mapa de Portfólio e Priorizaçã.md","01","True","01.03 Mapa de Portfólio e Priorização","pavie-01-03-mapa-portfolio-priorizacao","planejamento_portfolio_priorizacao","vigente","2026-03-06","Fabio Mathias Pavie","derivado_estrategico","revisão trimestral, com revisão extraordinária por saturação, mudança de mix, alteração de capacidade ou nova frente estratégica","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Base de alinhamento | 4. Conceitos operacionais do mapa","599"
"01.04 Orçamento, Metas e Capacidade.md","01","True","01.04 Orçamento, Metas e Capacidade","pavie-01-04-orcamento-metas-capacidade","planejamento_orcamentario_metas_capacidade","vigente","2026-03-06","Fabio Mathias Pavie","derivado_estrategico","revisão mensal executiva, revisão trimestral tática e revisão anual integral","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.03 Mapa de Portfólio e Priorização","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Base de alinhamento | 4. Premissas econômico-operacionais do ciclo","486"
"01.05 Roadmap de Evolução Estrutural.md","01","True","01.05 Roadmap de Evolução Estrutural","pavie-01-05-roadmap-evolucao-estrutural","planejamento_roadmap_evolucao_estrutural","vigente","2026-03-06","Fabio Mathias Pavie","derivado_estrategico","revisão trimestral do andamento, revisão semestral de maturidade e revisão anual integral","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Base de alinhamento do roadmap | 4. Tese central do roadmap","593"
"02.00 Matriz de Papéis, Responsabili.md","02","True","02.00 Matriz de Papéis, Responsabilidades e Alçadas","pavie-02-00-matriz-papeis-responsabilidades-alcadas","matriz_governanca_alcadas","vigente","2026-03-06","Fabio Mathias Pavie","superior_derivado","12 meses, com revisão extraordinária por gatilho","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 01.05 Roadmap de Evolução Estrutural","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Princípios operativos de governança | 4. Papéis institucionais mínimos","494"
"02.01 Política de Revisão Humana e A.md","02","True","02.01 Política de Revisão Humana e Aprovação Final","pavie-02-01-politica-revisao-humana-aprovacao-final","politica_revisao_humana_aprovacao_final","vigente","2026-03-06","Fabio Mathias Pavie","derivado_normativo","12 meses, com revisão extraordinária por incidente, falha de validação, mudança de fluxo ou alteração de documentos superiores","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 02.00 Matriz de Papéis, Responsabilidades e Alçadas","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Base constitucional e matricial de alinhamento | 4. Conceitos operacionais da política","527"
"02.02 Política de Delegação e Superv.md","02","True","02.02 Política de Delegação e Supervisão","pavie-02-02-politica-delegacao-supervisao","politica_delegacao_supervisao","vigente","2026-03-06","Fabio Mathias Pavie","derivado_normativo","12 meses, com revisão extraordinária por incidente, falha de supervisão, mudança de fluxo, aumento de equipe ou alteração dos documentos superiores","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 02.00 Matriz de Papéis, Responsabilidades e Alçadas | 02.01 Política de Revisão Humana e Aprovação Final","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Base constitucional e matricial de alinhamento | 4. Conceitos operacionais da política","653"
